Series,Year,Rate
1985,Male Officers,750
1985,Female Officers,55
1985,Male Civilians,71
1985,Female Civilians,165
1986,Male Officers,757
1986,Female Officers,72
1986,Male Civilians,65
1986,Female Civilians,186
1987,Male Officers,755
1987,Female Officers,77
1987,Male Civilians,68
1987,Female Civilians,185
1988,Male Officers,820
1988,Female Officers,78
1988,Male Civilians,77
1988,Female Civilians,187
1989,Male Officers,851
1989,Female Officers,76
1989,Male Civilians,74
1989,Female Civilians,204
1990,Male Officers,874
1990,Female Officers,84
1990,Male Civilians,82
1990,Female Civilians,194
1991,Male Officers,862
1991,Female Officers,100
1991,Male Civilians,81
1991,Female Civilians,194
1992,Male Officers,842
1992,Female Officers,86
1992,Male Civilians,67
1992,Female Civilians,192
1993,Male Officers,867
1993,Female Officers,90
1993,Male Civilians,89
1993,Female Civilians,195
1994,Male Officers,895
1994,Female Officers,87
1994,Male Civilians,84
1994,Female Civilians,199
1995,Male Officers,932
1995,Female Officers,92
1995,Male Civilians,87
1995,Female Civilians,190
1996,Male Officers,952
1996,Female Officers,99
1996,Male Civilians,96
1996,Female Civilians,193
1997,Male Officers,956
1997,Female Officers,104
1997,Male Civilians,88
1997,Female Civilians,197
1998,Male Officers,958
1998,Female Officers,103
1998,Male Civilians,120
1998,Female Civilians,211
1999,Male Officers,1010
1999,Female Officers,127
1999,Male Civilians,127
1999,Female Civilians,214
2000,Male Officers,1052
2000,Female Officers,135
2000,Male Civilians,113
2000,Female Civilians,230
2001,Male Officers,1077
2001,Female Officers,158
2001,Male Civilians,141
2001,Female Civilians,265
2002,Male Officers,1103
2002,Female Officers,155
2002,Male Civilians,171
2002,Female Civilians,273
2003,Male Officers,1165
2003,Female Officers,161
2003,Male Civilians,171
2003,Female Civilians,307
2004,Male Officers,1163
2004,Female Officers,162
2004,Male Civilians,150
2004,Female Civilians,305
2005,Male Officers,1177
2005,Female Officers,162
2005,Male Civilians,88
2005,Female Civilians,182
2006,Male Officers,1229
2006,Female Officers,180
2006,Male Civilians,84
2006,Female Civilians,183
2007,Male Officers,1257
2007,Female Officers,197
2007,Male Civilians,91
2007,Female Civilians,188
2008,Male Officers,1251
2008,Female Officers,203
2008,Male Civilians,73
2008,Female Civilians,189
2009,Male Officers,1231
2009,Female Officers,191
2009,Male Civilians,92
2009,Female Civilians,272
2010,Male Officers,1203
2010,Female Officers,198
2010,Male Civilians,114
2010,Female Civilians,262
2011,Male Officers,1196
2011,Female Officers,195
2011,Male Civilians,91
2011,Female Civilians,237
2012,Male Officers,1178
2012,Female Officers,176
2012,Male Civilians,103
2012,Female Civilians,193
2013,Male Officers,1157
2013,Female Officers,170
2013,Male Civilians,63
2013,Female Civilians,208
2014,Male Officers,1127
2014,Female Officers,201
2014,Male Civilians,90
2014,Female Civilians,186
2015,Male Officers,1224
2015,Female Officers,103
2015,Male Civilians,203
2015,Female Civilians,182
2016,Male Officers,1214
2016,Female Officers,200
2016,Male Civilians,67
2016,Female Civilians,136
2017,Male Officers,1214
2017,Female Officers,197
2017,Male Civilians,68
2017,Female Civilians,140
2018,Male Officers,1212
2018,Female Officers,205
2018,Male Civilians,133
2018,Female Civilians,177
