year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,CT0000200,119,88,0,0,33,19,53,40,425,114,6,2,108,17,277,83,40,14
1986,CT0000200,54,44,0,0,13,11,36,30,460,101,8,0,146,21,272,50,42,30
1987,CT0000200,52,28,1,1,33,11,17,15,435,112,6,1,118,20,268,65,49,27
1988,CT0000200,78,38,1,1,32,11,40,22,629,144,3,0,211,19,349,93,69,32
1989,CT0000200,70,40,0,0,37,12,29,24,556,132,6,1,190,27,303,71,63,34
1990,CT0000200,74,49,0,0,38,14,35,34,604,275,2,0,116,13,423,221,65,41
1991,CT0000200,55,48,0,0,17,11,28,27,573,239,3,0,90,7,381,163,102,69
1992,CT0000200,42,27,0,0,11,5,28,19,479,90,11,3,91,3,326,76,62,11
1993,CT0000200,63,39,2,2,14,3,45,33,531,115,5,0,86,17,364,67,81,31
1994,CT0000200,73,44,1,1,20,9,45,30,483,89,3,1,96,10,347,73,40,6
1995,CT0000200,64,42,0,0,16,6,41,33,385,94,2,1,50,12,307,61,28,21
1996,CT0000200,80,64,0,0,21,10,53,49,474,105,1,1,104,16,319,64,51,25
1997,CT0000200,120,88,0,0,19,10,89,70,613,137,1,0,116,17,398,101,99,19
1998,CT0000200,152,107,0,0,21,13,116,85,414,130,0,0,71,19,287,96,56,15
1999,CT0000200,59,48,1,1,12,5,35,31,366,72,5,4,49,6,250,57,67,9
2000,CT0000200,58,35,0,0,13,6,38,27,252,49,0,0,45,3,161,42,46,4
2001,CT0000200,83,61,0,0,12,7,70,54,323,54,0,0,56,5,206,38,61,11
2002,CT0000200,42,20,2,2,17,6,14,8,442,63,0,0,60,11,337,47,45,5
2003,CT0000200,25,18,0,0,10,6,13,12,363,78,1,0,40,10,274,63,49,5
2004,CT0000200,27,15,0,0,13,7,12,7,395,57,1,0,45,12,304,42,46,3
2005,CT0000200,17,9,2,1,8,3,4,4,418,76,3,1,62,16,305,57,51,3
2006,CT0000200,28,13,0,0,6,4,18,9,386,77,2,0,52,6,298,66,36,5
2007,CT0000200,38,22,1,1,21,9,13,11,381,80,0,0,38,3,290,68,53,9
2008,CT0000200,26,15,1,0,12,7,10,6,349,90,2,1,44,11,269,77,36,2
2009,CT0000200,36,15,2,1,22,9,8,4,354,89,1,1,36,7,280,75,38,7
2010,CT0000200,28,11,0,0,18,6,8,5,327,50,3,0,36,4,252,46,39,0
2011,CT0000200,31,9,2,1,19,6,7,2,373,86,3,0,49,6,283,79,41,1
2012,CT0000200,30,12,0,0,16,6,10,5,459,106,1,1,82,14,318,85,59,7
2013,CT0000200,33,10,0,0,16,5,12,4,393,83,1,1,59,16,284,67,50,0
2014,CT0000200,38,14,0,0,18,5,14,8,373,67,2,0,62,3,281,63,30,1
2015,CT0000200,25,11,0,0,12,2,8,8,354,68,0,0,47,7,267,59,40,2
2016,CT0000200,28,10,0,0,11,2,13,8,332,54,1,1,46,12,245,41,41,1
2017,CT0000200,24,12,0,0,3,3,12,7,355,77,1,0,24,11,282,60,49,6
2018,CT0000200,28,7,0,0,11,2,6,3,443,77,2,1,29,4,354,65,60,8
