year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,INIPD0000,2422,923,220,86,8209,1021,59,41,13927,1862,2893,351,25029,3234,1795,403,4622,1542
1986,INIPD0000,2235,996,278,108,8247,928,63,43,13815,1948,3357,389,25419,3265,1571,408,4307,1632
1987,INIPD0000,2720,1163,230,77,8744,908,57,40,13336,2118,3735,374,25815,3400,1334,379,4543,1745
1988,INIPD0000,3670,2199,231,74,7714,996,79,60,12758,2308,3577,464,24049,3768,1464,346,5635,2850
1989,INIPD0000,3529,2403,272,83,8520,916,41,49,13122,2468,3997,585,25639,3969,1806,412,5859,3132
1990,INIPD0000,3983,2832,287,79,7878,928,58,48,13697,2692,4836,558,26411,4178,1642,398,6224,3594
1991,INIPD0000,4415,3478,286,90,8732,855,95,73,14970,2821,5231,521,28933,4197,2001,439,7072,4363
1992,INIPD0000,4028,2794,271,66,8102,860,88,55,15730,2663,5212,421,29044,3944,2157,426,6814,3594
1993,INIPD0000,3657,1781,246,80,7629,682,68,72,14383,2659,5226,548,27238,3889,2050,479,6292,2627
1994,INIPD0000,3422,1499,352,107,8151,662,108,65,15041,2324,6001,641,29193,3627,2454,524,6467,2318
1995,INIPD0000,3636,1707,338,91,7797,667,99,65,15941,2586,6016,872,29754,4125,2523,629,6715,2659
1996,INIPD0000,4280,1976,325,89,7797,805,114,90,16842,2141,5860,669,30499,3615,2600,680,7418,3033
1997,INIPD0000,4601,2554,343,94,7935,799,118,82,14840,2528,5657,743,28432,4070,2750,830,7852,3700
1998,INIPD0000,5002,3303,446,90,11258,1314,143,130,21851,4485,5801,1031,38910,6830,2893,953,8624,4749
1999,INIPD0000,4579,3140,359,153,9971,1332,113,89,17279,3756,5434,1108,32684,6196,2598,1031,7714,4552
2000,INIPD0000,3753,2461,306,97,8095,1034,96,63,16466,3779,5985,937,30546,5750,2551,813,6843,3622
2001,INIPD0000,4087,2736,279,136,9043,1132,112,78,18224,4970,6363,1176,33630,7278,2787,862,7428,3962
2002,INIPD0000,4028,2812,389,144,9662,1393,112,88,24821,4907,6502,1031,40985,7331,2937,942,7518,4121
2003,INIPD0000,3714,2429,499,149,10062,1273,105,86,27891,4638,7433,922,45386,6833,2828,937,7067,3682
2004,INIPD0000,3716,2396,441,116,10920,1338,109,95,28364,4856,7714,884,46998,7078,2763,910,7067,3638
2005,INIPD0000,4039,2534,374,124,11548,1531,108,86,29541,5006,8992,996,50081,7533,3274,979,7948,3863
2006,INIPD0000,3751,2332,347,79,11734,1574,140,103,28929,4375,8936,908,49599,6857,3249,1010,7689,3722
2007,INIPD0000,5176,3089,336,111,13385,1428,114,79,29224,5096,7680,1572,50289,8096,4046,1275,9841,4732
2008,INIPD0000,5123,3312,367,42,14267,1632,114,88,28466,5478,6444,1524,49177,8634,4023,1335,9735,5055
2009,INIPD0000,5271,3298,346,68,15217,1687,99,64,27717,5129,4485,893,47419,7709,3929,1184,9759,4830
2010,INIPD0000,5726,3911,425,89,13938,1868,92,76,27530,5679,4476,967,45944,8514,3367,1224,9646,5539
2011,INIPD0000,5267,3635,463,80,15122,2022,96,65,26588,5586,5257,930,46967,8538,3372,1221,9170,5195
2012,INIPD0000,5967,3575,409,62,14774,1643,97,61,27525,5298,4599,784,46898,7725,3442,1143,9942,5046
2013,INIPD0000,5894,3453,317,76,13445,1454,129,84,26156,5039,5005,747,44606,7240,3800,1116,10479,5026
2014,INIPD0000,6251,2379,271,25,12125,667,136,91,24090,3271,5179,533,41394,4471,3808,839,10768,3560
2015,INIPD0000,6497,2651,193,19,11085,727,148,80,25301,3406,4991,595,41377,4728,3802,795,11124,3783
2016,INIPD0000,7099,3351,251,29,10209,720,148,75,26335,3557,4996,802,41540,5079,3976,1050,11907,4811
2017,INIPD0000,7307,3428,256,31,8945,617,156,70,24569,3177,4904,705,38418,4499,3485,926,11616,4828
2018,INIPD0000,7250,3336,229,37,7842,564,162,83,23448,2747,4947,676,36237,3987,3081,803,11170,4590
