year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,CA0380100,9502,4006,85,50,5111,1464,3794,2128,49088,8386,393,68,11757,1414,31397,6228,5934,744
1986,CA0380100,9506,3741,114,68,5085,1371,3815,1994,47131,8274,415,47,10076,1348,30223,6083,6832,843
1987,CA0380100,9298,3694,103,63,4654,1306,4089,2059,48539,8193,376,56,9642,1354,31172,5918,7725,921
1988,CA0380100,9667,3395,92,71,4867,1221,4255,1872,56388,9408,376,39,10148,1594,36662,6701,9578,1113
1989,CA0380100,10064,3400,73,51,5005,1185,4606,1960,57684,8650,373,39,10692,1383,37316,6217,9676,1050
1990,CA0380100,12388,3637,101,67,7053,1476,4815,1874,57562,8340,420,40,10618,1261,35583,6056,11361,1023
1991,CA0380100,12160,3628,95,50,7020,1543,4645,1819,57190,8093,429,37,10604,1365,34679,5733,11907,995
1992,CA0380100,13676,3480,117,48,8278,1385,4886,1822,62875,7405,464,36,11831,1343,38375,5260,12669,802
1993,CA0380100,13365,2979,129,60,8454,1294,4421,1462,56767,6674,488,28,11153,1122,34558,4886,11056,666
1994,CA0380100,10837,2659,91,27,6624,1149,3830,1342,51023,5610,436,45,8055,866,33719,4281,9249,463
1995,CA0380100,10903,2935,99,25,6469,1202,4031,1566,49571,5590,433,42,7127,830,34153,4287,8291,473
1996,CA0380100,9886,2866,82,47,5539,1185,3967,1526,46706,5765,452,53,7079,858,31062,4437,8565,470
1997,CA0380100,8549,2495,59,46,4606,984,3651,1401,43447,5222,428,44,7153,719,28891,4113,7403,390
1998,CA0380100,7337,2006,58,25,3927,771,3108,1121,38802,4761,353,0,6706,603,25349,3751,6747,407
1999,CA0380100,6555,1841,64,29,3475,664,2823,1079,36767,4068,275,21,5526,532,25264,3298,5977,238
2000,CA0380100,6499,1721,59,28,3456,627,2755,1011,35675,3890,307,10,5695,534,24417,3134,5563,222
2001,CA0380100,6784,1762,62,32,3808,687,2688,988,37459,4387,368,48,6580,688,24414,3514,6465,185
2002,CA0380100,6059,1896,68,21,3208,811,2573,1013,36612,4162,227,17,5947,571,24468,3308,6197,283
2003,CA0380100,5725,2393,69,27,3065,1158,2376,1106,38163,4583,260,29,5784,702,25388,3613,6991,268
2004,CA0380100,5757,1545,88,37,3041,562,2476,895,35869,3663,258,28,6097,561,21711,2904,8061,198
2005,CA0380100,5985,1801,96,36,3078,454,2639,1270,34269,2825,188,16,6208,493,19887,2160,8174,172
2006,CA0380100,6533,1660,86,43,3858,593,2435,981,36992,3548,226,27,6465,596,23891,2698,6636,254
2007,CA0380100,6414,1565,100,48,3771,597,2418,887,34456,3159,232,32,5079,514,23474,2465,5903,180
2008,CA0380100,6744,2097,98,17,4108,960,2372,1052,36301,3928,235,21,5401,662,25142,2931,5758,335
2009,CA0380100,5957,2099,45,32,3423,868,2310,1158,34509,3692,198,20,5197,758,24399,2713,4913,221
2010,CA0380100,5747,1920,48,22,3180,754,2386,1116,32365,3212,156,33,4557,582,23905,2521,3903,109
2011,CA0380100,5374,1849,50,18,3088,802,2105,998,32886,3094,161,27,4408,732,24304,2216,4174,146
2012,CA0380100,5777,1654,69,39,3484,689,2116,902,38898,2803,207,41,5317,678,28242,1871,5339,254
2013,CA0380100,7064,2336,48,26,4202,996,2653,1278,48324,3761,227,54,5931,902,36527,2474,5866,385
2014,CA0380100,6761,2066,45,27,3224,738,3137,1192,45093,4315,241,51,5237,756,33730,3295,6126,264
2015,CA0380100,6710,2046,53,28,3610,816,2703,1073,53019,3564,272,54,5186,650,40918,2418,6915,496
2016,CA0380100,6190,2225,57,38,3175,766,2616,1087,47402,3321,255,54,4978,786,36991,2108,5433,427
2017,CA0380100,6301,1981,56,27,3220,773,2658,1118,54356,3198,303,57,4935,641,44587,2134,4834,423
2018,CA0380100,6144,2083,46,44,3165,871,2579,1111,49214,3235,69,20,5322,826,39675,2011,4217,398
