year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TX0610600,113,74,2,2,44,22,55,42,3149,578,8,2,762,82,2103,442,284,54
1986,TX0610600,93,43,0,0,36,9,46,30,3429,658,11,4,790,91,2299,491,340,76
1987,TX0610600,92,38,2,0,33,6,42,25,3915,790,31,10,1061,175,2534,543,320,72
1988,TX0610600,133,74,0,1,46,9,71,55,3969,809,13,1,886,154,2715,562,368,93
1989,TX0610600,114,65,5,5,39,17,53,35,4220,816,24,6,1042,234,2763,462,415,120
1990,TX0610600,170,86,4,0,48,12,90,60,4211,940,25,8,847,196,2889,635,475,109
1991,TX0610600,170,98,4,4,68,31,71,49,4099,824,19,6,824,86,2828,606,447,132
1992,TX0610600,152,92,1,1,49,26,77,46,3368,827,19,3,697,95,2322,634,349,98
1993,TX0610600,153,112,1,1,50,21,70,61,3056,830,20,11,557,114,2195,591,304,125
1994,TX0610600,107,60,1,1,32,14,55,31,3156,673,15,7,642,52,2224,524,290,97
1995,TX0610600,165,93,5,8,53,25,91,52,3238,573,13,1,516,75,2426,431,296,67
1996,TX0610600,139,101,0,2,46,25,71,64,3407,808,9,1,548,58,2588,677,271,73
1997,TX0610600,146,92,1,1,33,11,91,67,3096,728,8,2,537,57,2312,612,247,59
1998,TX0610600,155,105,2,2,46,22,91,66,3082,715,2,1,446,44,2393,591,243,80
1999,TX0610600,164,91,2,1,37,15,97,59,2786,706,3,0,447,35,2106,600,233,71
2000,TX0610600,168,94,1,1,46,10,93,59,3148,810,9,3,472,44,2375,675,301,91
2001,TX0610600,189,83,0,0,58,16,111,58,3409,603,9,0,477,28,2572,541,360,34
2002,TX0610600,211,57,4,3,69,13,97,31,4007,708,8,6,613,29,2945,623,449,56
2003,TX0610600,169,65,3,3,49,12,102,42,4003,704,10,4,610,38,2958,599,435,67
2004,TX0610600,183,63,4,2,76,13,84,45,4063,797,8,3,545,32,3084,666,434,99
2005,TX0610600,199,107,2,2,55,16,119,77,3786,757,11,2,514,34,2921,657,351,66
2006,TX0610600,215,101,2,1,71,20,105,64,3060,535,15,4,511,35,2161,448,388,52
2007,TX0610600,185,78,1,1,73,25,90,47,2776,523,4,1,556,37,1927,449,293,37
2008,TX0610600,235,95,1,1,90,18,118,65,3298,601,11,1,616,31,2352,528,330,42
2009,TX0610600,197,88,3,2,75,25,98,56,3634,784,5,1,659,50,2540,685,435,49
2010,TX0610600,240,124,3,1,80,24,132,90,3536,774,2,0,663,48,2488,696,385,30
2011,TX0610600,185,103,3,4,53,18,105,72,3112,636,7,1,575,43,2237,569,300,24
2012,TX0610600,180,98,3,3,50,17,104,64,2987,685,8,2,566,38,2165,619,256,28
2013,TX0610600,245,94,1,0,74,15,120,59,2750,477,4,1,507,24,1941,438,302,15
2014,TX0610600,201,77,1,1,56,13,110,52,2605,475,6,3,439,25,1815,429,351,21
2015,TX0610600,239,98,2,2,56,9,139,71,2438,463,7,5,410,27,1804,421,224,15
2016,TX0610600,220,88,0,0,49,12,120,57,2591,409,8,2,455,27,1862,359,274,23
2017,TX0610600,313,127,3,3,70,16,158,81,2179,248,6,1,349,28,1595,203,235,17
2018,TX0610600,299,93,4,1,53,13,141,59,1875,250,4,2,286,19,1383,220,206,11
