year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,AK0010100,1184,261,14,10,371,51,606,183,13438,2157,232,14,2892,177,9154,1908,1392,72
1986,AK0010100,1198,353,17,8,330,78,684,241,15281,2688,189,35,2824,184,11071,2416,1386,88
1987,AK0010100,1025,403,15,7,285,58,571,286,12721,2233,164,7,2113,204,9491,1935,1117,94
1988,AK0010100,1122,391,13,9,281,58,669,289,11412,2034,77,2,1890,139,8340,1744,1182,151
1989,AK0010100,1131,406,11,12,272,42,709,337,11085,2695,39,1,1708,144,8219,2379,1158,172
1990,AK0010100,1330,460,10,7,350,48,767,376,11677,2589,74,0,2060,153,8083,2232,1534,204
1991,AK0010100,1669,491,25,9,542,83,838,369,14017,3152,106,8,2489,168,9967,2824,1561,160
1992,AK0010100,1971,660,17,9,484,64,1217,565,15074,3119,105,10,2650,164,10813,2785,1611,170
1993,AK0010100,2213,830,23,13,568,90,1410,688,13927,3125,105,20,1880,192,10660,2754,1387,179
1994,AK0010100,2478,884,22,14,729,102,1529,732,16184,3275,144,16,2276,181,11717,2752,2191,342
1995,AK0010100,2510,917,29,19,777,131,1462,728,15795,3018,96,11,2521,176,11152,2525,2122,317
1996,AK0010100,2078,952,25,16,558,115,1297,778,14100,2604,87,11,2353,155,10163,2239,1584,210
1997,AK0010100,1889,908,23,21,501,101,1191,748,13376,2605,83,9,1931,190,10083,2239,1362,176
1998,AK0010100,1632,787,19,11,373,87,1056,659,11732,2370,77,11,1617,150,8834,1994,1281,226
1999,AK0010100,1683,794,19,10,398,97,1106,662,11265,2296,83,9,1543,223,8471,1870,1251,203
2000,AK0010100,1524,713,10,9,346,67,973,596,11342,2511,101,13,1533,186,8799,2162,1010,163
2001,AK0010100,1748,839,10,8,384,79,1144,704,11466,2189,103,10,1606,153,8648,1865,1212,171
2002,AK0010100,1721,811,18,19,382,79,1067,645,11949,2535,141,15,1521,157,9255,2158,1173,220
2003,AK0010100,1744,873,17,9,340,84,1143,727,11706,2454,128,25,1418,178,9091,2062,1197,214
2004,AK0010100,2164,1260,15,14,331,78,1555,1097,9901,1893,82,13,1523,171,7354,1530,1024,192
2005,AK0010100,2031,1031,16,10,384,84,1407,896,11365,2069,76,7,1783,144,8248,1694,1334,231
2006,AK0010100,2592,1384,17,12,465,120,1862,1213,11721,2469,106,18,1733,186,8543,2040,1445,243
2007,AK0010100,2405,1352,22,17,453,121,1673,1155,11107,2418,145,29,1454,222,8397,1962,1256,234
2008,AK0010100,2647,1455,10,7,544,195,1830,1223,9211,2223,106,37,1191,162,7254,1914,766,147
2009,AK0010100,2488,1389,14,12,534,192,1658,1134,10316,2226,111,17,1613,179,7835,1889,868,158
2010,AK0010100,2432,1340,13,10,454,160,1701,1129,10214,2132,86,20,1223,149,8178,1844,813,139
2011,AK0010100,2388,1240,12,13,465,154,1628,1003,9455,1974,126,26,1080,141,7750,1707,625,126
2012,AK0010100,2479,1336,15,12,488,140,1673,1107,10543,2183,97,24,1158,147,8554,1868,831,168
2013,AK0010100,2435,1226,14,12,522,166,1491,961,12032,2542,74,15,1318,140,9845,2220,869,182
2014,AK0010100,2605,1278,12,9,496,156,1705,1035,11531,1989,81,19,1375,133,9217,1713,939,143
2015,AK0010100,3226,1445,26,21,621,213,2062,1142,11801,1985,106,30,1685,168,8962,1603,1154,214
2016,AK0010100,3422,1513,28,20,695,205,2157,1208,14649,2028,69,19,2008,209,10599,1481,2042,338
2017,AK0010100,3780,1650,27,28,778,216,2368,1348,16041,2105,62,14,2216,250,10721,1358,3104,497
2018,AK0010100,3824,1941,26,14,717,276,2468,1528,14389,2077,46,15,2068,311,9498,1305,2823,461
