year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,NJ0024600,67,32,31,11,260,23,0,0,2745,706,623,8,3628,737,30,9,103,43
1986,NJ0024600,101,54,26,4,199,22,1,1,2741,637,704,16,3644,675,37,11,146,69
1987,NJ0024600,71,50,30,3,207,25,0,0,3311,815,668,21,4186,861,43,20,124,73
1988,NJ0024600,55,41,31,5,201,21,0,0,3172,814,680,19,4053,854,31,6,95,50
1989,NJ0024600,59,46,27,7,147,18,1,1,2562,780,622,17,3331,815,40,8,103,57
1990,NJ0024600,53,25,30,5,224,26,0,0,2613,840,733,19,3570,885,26,6,83,31
1991,NJ0024600,62,28,26,5,198,26,0,0,3031,1128,851,11,4080,1165,35,7,104,39
1992,NJ0024600,64,30,22,4,208,12,0,0,2578,981,785,13,3571,1006,24,8,88,38
1993,NJ0024600,76,36,18,6,241,13,0,0,2494,1014,691,10,3426,1037,24,4,103,43
1994,NJ0024600,77,28,28,3,220,17,0,0,2422,1101,782,10,3424,1128,27,8,106,36
1995,NJ0024600,69,26,21,1,162,12,1,0,2566,1149,587,8,3315,1169,36,14,108,41
1996,NJ0024600,79,33,13,4,184,23,1,1,2558,1212,488,5,3230,1240,53,20,140,55
1997,NJ0024600,76,36,18,4,166,10,0,0,2506,1379,368,3,3040,1392,40,13,123,52
1998,NJ0024600,61,29,13,3,199,16,0,0,2224,1125,376,5,2799,1146,45,22,108,53
1999,NJ0024600,51,26,12,7,177,6,0,0,2207,1029,308,4,2692,1039,32,6,85,34
2000,NJ0024600,77,31,13,2,117,18,1,0,1980,965,240,3,2337,986,54,23,136,57
2001,NJ0024600,54,26,5,1,127,15,0,0,1995,957,266,6,2388,978,42,17,98,45
2002,NJ0024600,50,29,9,3,118,17,0,0,1781,739,206,11,2105,767,50,29,104,59
2003,NJ0024600,52,41,10,1,112,23,0,1,1722,622,204,4,2038,649,38,16,96,61
2004,NJ0024600,42,27,3,1,133,23,0,0,1841,806,135,8,2109,837,41,16,84,43
2005,NJ0024600,36,20,5,3,68,19,1,1,1349,597,74,7,1491,623,28,17,66,38
2006,NJ0024600,43,32,7,3,87,14,0,0,1478,660,104,7,1669,681,34,21,77,53
2007,NJ0024600,28,18,9,5,68,14,0,0,1467,596,43,4,1578,614,25,16,54,35
2008,NJ0024600,49,36,6,2,90,14,0,0,1556,650,63,8,1709,672,36,20,88,58
2009,NJ0024600,43,29,5,1,119,20,0,0,1692,840,36,3,1847,863,45,31,88,60
2010,NJ0024600,61,42,4,2,80,12,0,0,1631,860,46,3,1757,875,31,12,92,54
2011,NJ0024600,36,28,3,1,89,13,0,0,1551,882,28,3,1668,898,22,16,61,46
2012,NJ0024600,8,3,2,2,54,5,0,0,1291,522,28,3,1373,530,19,13,29,17
2013,NJ0024600,5,3,0,0,52,8,0,0,1228,395,35,0,1315,403,27,15,32,18
2014,NJ0024600,8,5,0,0,37,5,0,0,1123,341,36,2,1196,348,14,10,23,15
2015,NJ0024600,13,13,0,0,41,8,0,0,961,538,34,3,1036,549,25,16,40,29
2016,NJ0024600,11,7,0,0,37,3,0,0,1097,605,13,1,1147,609,21,15,33,23
2017,NJ0024600,6,5,0,0,29,2,1,1,1095,486,30,3,1154,491,7,5,14,11
2018,NJ0024600,9,3,0,0,24,3,0,0,1015,412,28,4,1067,419,12,4,24,8
