year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,VA0290100,317,235,291,86,3213,863,4,4,17408,3342,1509,725,22130,4930,511,266,889,550
1986,VA0290100,386,308,294,83,3492,909,14,12,17843,3457,1739,740,23074,5106,495,211,964,580
1987,VA0290100,354,218,340,85,3543,1123,14,10,18972,3394,2157,852,24672,5369,529,191,965,464
1988,VA0290100,338,249,293,52,3323,1361,23,17,19647,3765,2519,1039,25489,6165,548,235,986,549
1989,VA0290100,389,297,306,62,2596,928,28,24,20076,4903,2292,1174,24964,7005,528,251,1009,626
1990,VA0290100,391,278,198,51,2725,882,27,22,21426,4531,2054,904,26205,6317,490,219,1003,581
1991,VA0290100,357,264,227,124,2661,935,20,10,23054,5155,1984,871,27699,6961,477,214,926,544
1992,VA0290100,417,282,230,130,2456,1018,18,12,21047,4615,1888,809,25391,6442,473,172,998,534
1993,VA0290100,343,270,228,87,2211,789,17,11,20295,4251,1721,724,24227,5764,460,189,920,548
1994,VA0290100,361,245,285,55,2036,643,19,15,21148,4133,1879,696,25063,5472,428,184,912,523
1995,VA0290100,348,242,218,69,2189,654,15,10,21984,4022,1983,720,26156,5396,447,179,887,487
1996,VA0290100,335,249,192,30,1942,549,14,14,21707,4033,2106,650,25755,5232,487,167,923,480
1997,VA0290100,375,224,208,78,1989,602,16,11,21434,3886,1991,648,25414,5136,447,173,899,446
1998,VA0290100,368,259,133,39,2030,721,15,15,18642,3762,1896,577,22568,5060,383,154,886,493
1999,VA0290100,236,141,83,38,917,349,15,8,11421,2255,1159,361,13497,2965,258,105,575,289
2000,VA0290100,15,7,0,0,1033,68,2,1,8864,627,313,18,10210,713,107,11,154,25
2001,VA0290100,42,15,18,3,1404,134,2,0,11345,1173,417,47,13166,1354,173,15,249,39
2002,VA0290100,130,56,85,11,1509,168,8,3,14619,1225,1262,117,17390,1510,301,35,480,110
2003,VA0290100,235,92,120,13,453,79,6,2,14763,1261,1456,164,16672,1504,352,40,648,160
2004,VA0290100,206,52,110,15,137,46,2,1,13918,1180,1345,142,15400,1368,354,38,594,102
2005,VA0290100,206,54,126,17,975,105,14,5,13708,1041,1273,175,15956,1321,298,30,575,105
2006,VA0290100,278,76,123,12,1488,135,14,4,12421,883,1408,173,15317,1191,418,49,764,148
2007,VA0290100,309,114,136,22,1371,190,15,5,14102,1397,1217,111,16690,1698,490,92,873,226
2008,VA0290100,309,109,106,10,1392,216,18,7,15864,1513,1082,59,18338,1788,343,72,732,209
2009,VA0290100,268,148,75,11,1481,328,13,8,15317,2480,1030,77,17828,2885,326,62,705,249
2010,VA0290100,438,286,44,12,1210,300,23,11,13519,2829,978,230,15707,3359,383,136,971,478
2011,VA0290100,385,263,73,16,1007,427,11,9,13000,3520,875,300,14882,4247,422,157,918,481
2012,VA0290100,384,286,70,11,1061,462,16,9,12834,3346,804,254,14699,4062,343,124,858,463
2013,VA0290100,412,282,32,11,1068,466,12,11,13346,4018,760,251,15174,4735,409,166,1005,558
2014,VA0290100,400,295,32,13,917,337,10,10,12938,3989,748,261,14603,4587,400,164,969,562
2015,VA0290100,387,261,39,11,827,322,14,11,12865,3676,742,223,14434,4221,443,156,974,501
2016,VA0290100,398,242,30,6,821,244,19,11,12923,3828,815,260,14559,4332,461,162,1061,489
2017,VA0290100,416,262,26,7,762,282,20,11,12507,4047,722,247,13991,4576,429,198,1209,644
2018,VA0290100,374,246,24,9,749,293,14,14,11675,3924,817,229,13241,4446,350,155,1042,588
