year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,CA0371100,2754,1633,380,85,16363,1745,96,76,35220,5913,10060,1019,61643,8677,3062,715,6250,2590
1986,CA0371100,4044,2577,376,77,17533,1748,102,68,40459,6239,13233,1561,71225,9548,3985,1055,8522,3894
1987,CA0371100,5154,3592,335,85,17370,1767,96,60,43590,7065,18155,2564,79115,11396,3452,1054,9112,4951
1988,CA0371100,5434,3354,280,68,17536,1708,144,70,45923,6867,24126,2614,87585,11189,3204,884,9171,4539
1989,CA0371100,6008,4216,296,77,17495,1984,121,86,49789,7632,25583,2426,92867,12042,3585,1164,10124,5661
1990,CA0371100,7142,5205,291,66,16691,1834,135,63,48581,7500,24245,2159,89517,11493,4331,1361,12047,6878
1991,CA0371100,7860,6424,257,47,17088,1699,167,92,44645,6630,21218,1485,82951,9814,5331,1438,13830,8218
1992,CA0371100,8840,6010,261,46,16437,1570,146,94,40798,6059,20231,1604,77466,9233,5321,1396,14792,7781
1993,CA0371100,8283,5265,245,31,14583,1443,133,61,37862,5082,19319,1050,71764,7575,4651,1198,13463,6725
1994,CA0371100,8238,5272,216,38,12889,1219,113,63,35204,4703,16033,1050,64126,6972,3845,1186,12599,6746
1995,CA0371100,7396,5046,230,52,10311,1041,91,55,30505,4047,12342,763,53158,5851,3244,931,11077,6207
1996,CA0371100,6703,4855,252,54,8608,1125,79,60,31688,4427,11129,616,51425,6168,2998,954,10148,6061
1997,CA0371100,6734,5086,227,45,8159,1116,67,60,30204,4315,10810,604,49173,6035,2604,960,9789,6324
1998,CA0371100,6210,4939,223,0,7349,983,42,24,28388,4345,9940,512,45677,5840,2121,819,8744,5994
1999,CA0371100,5187,3828,230,40,6568,778,57,17,26117,3728,9491,536,42176,5042,1812,654,7411,4711
2000,CA0371100,4980,3670,204,52,6717,842,54,29,23015,3780,9467,442,39199,5064,1777,676,7160,4531
2001,CA0371100,5284,3653,201,42,7219,746,50,38,25050,3403,10770,455,43039,4604,1729,547,7405,4406
2002,CA0371100,5189,3474,206,40,7639,931,47,37,24577,3415,10715,510,42931,4856,1627,607,7193,4292
2003,CA0371100,5269,2990,238,39,8076,834,65,38,25739,3187,12567,385,46382,4406,1626,569,7366,3851
2004,CA0371100,4689,2794,191,33,7305,889,62,57,25168,3442,12970,356,45443,4687,1650,517,6774,3562
2005,CA0371100,4314,2578,233,49,7462,1026,51,45,24613,3358,14138,191,46213,4575,1862,635,6603,3434
2006,CA0371100,3811,2080,185,36,7746,1007,68,38,24125,3222,13338,200,45209,4429,2164,721,6391,2968
2007,CA0371100,3882,2108,200,44,7679,910,59,38,23264,3146,13224,238,44167,4294,2095,764,6332,3070
2008,CA0371100,3597,2020,190,42,7743,984,55,52,21945,3136,10677,167,40365,4287,2019,716,6047,2976
2009,CA0371100,3667,1949,186,56,6693,952,41,48,18057,3029,7496,85,32246,4066,1905,716,5931,2875
2010,CA0371100,3651,2069,155,34,6387,841,29,39,17977,2977,6389,41,30753,3859,1636,615,5616,2880
2011,CA0371100,3317,1909,153,30,5840,845,38,38,17610,3181,6259,64,29709,4090,1456,569,5104,2641
2012,CA0371100,3661,2125,183,51,5902,819,47,35,19188,3191,6610,114,31700,4124,1517,648,5529,2967
2013,CA0371100,3492,2060,178,48,6355,876,39,22,19230,3101,6143,142,31728,4119,1456,620,5303,2811
2014,CA0371100,3493,2124,209,45,5115,788,32,24,16691,2920,5006,98,26812,3806,1318,520,5214,2808
2015,CA0371100,3601,2008,174,60,5129,641,37,43,18933,2959,5096,90,29158,3690,1378,533,5582,2753
2016,CA0371100,3323,1754,239,70,4743,531,50,36,18042,2230,5839,141,28624,2902,1387,502,5332,2431
2017,CA0371100,3217,1748,158,50,3817,514,35,37,17294,1789,5135,50,26246,2353,1410,470,5221,2377
2018,CA0371100,3281,1729,129,34,3752,415,35,33,18482,1422,5182,22,27416,1859,1439,476,5360,2368
