year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1989,TX0770100,9,5,0,0,0,0,8,5,115,27,0,0,46,19,64,5,5,3
1990,TX0770100,17,9,0,0,1,1,16,8,99,17,1,0,40,5,57,11,2,1
1991,TX0770100,10,10,0,0,1,1,8,8,117,55,4,2,59,25,56,28,2,2
1992,TX0770100,6,6,0,0,0,0,4,4,96,42,0,0,38,14,53,25,5,3
1993,TX0770100,24,24,0,0,0,0,22,22,94,35,0,0,44,10,48,23,2,2
1994,TX0770100,4,3,0,0,0,0,4,3,72,23,0,0,31,12,36,8,5,3
1995,TX0770100,3,1,0,0,0,0,3,1,82,24,0,0,19,5,60,17,3,2
1996,TX0770100,5,5,0,0,0,0,5,5,69,24,2,2,16,3,50,20,3,1
1997,TX0770100,8,7,0,0,0,0,7,6,102,59,1,1,30,11,65,42,7,6
1998,TX0770100,4,2,0,0,1,0,3,2,61,27,0,0,23,13,37,14,1,0
1999,TX0770100,14,8,0,0,1,1,13,7,91,25,0,0,33,9,52,11,6,5
2000,TX0770100,10,8,0,0,1,1,9,7,67,10,2,0,13,1,52,9,2,0
2001,TX0770100,15,3,0,0,1,0,14,3,57,6,0,0,20,2,36,3,1,1
2002,TX0770100,3,2,0,0,0,0,3,2,55,9,0,0,17,3,34,5,4,1
2003,TX0770100,7,3,0,0,0,0,7,3,67,8,0,0,32,4,25,1,10,3
2004,TX0770100,4,1,0,0,1,1,3,0,69,2,0,0,38,1,29,1,2,0
2005,TX0770100,8,2,0,0,0,0,8,2,54,16,1,0,23,6,29,10,2,0
2006,TX0770100,7,0,0,0,2,0,5,0,42,4,0,0,21,0,19,3,2,1
2007,TX0770100,5,0,0,0,0,0,5,0,56,3,0,0,21,3,33,0,2,0
2008,TX0770100,10,3,1,1,1,0,6,0,33,1,0,0,19,1,14,0,0,0
2009,TX0770100,17,13,0,0,0,0,16,13,102,11,0,0,41,6,59,5,2,0
2010,TX0770100,19,3,1,1,2,1,15,1,81,4,1,0,32,1,46,2,3,1
2011,TX0770100,17,7,0,0,1,1,13,6,69,10,0,0,32,6,30,2,7,2
2012,TX0770100,13,7,0,0,1,1,10,5,55,12,2,0,15,2,37,8,3,2
2013,TX0770100,11,3,0,0,0,0,10,3,60,6,0,0,27,2,31,4,2,0
2014,TX0770100,10,4,0,0,0,0,9,3,60,3,0,0,27,1,29,0,4,2
2015,TX0770100,12,4,0,0,1,1,9,2,60,5,0,0,15,0,43,4,2,1
2016,TX0770100,17,9,1,1,0,0,14,8,59,2,1,0,19,1,37,0,3,1
2017,TX0770100,26,8,0,0,1,0,21,8,50,2,0,0,23,1,23,0,4,1
2018,TX0770100,17,3,0,0,2,0,12,3,36,4,1,0,10,1,22,1,4,2
