Series,Year,Rate
1985,Male Officers,12
1985,Female Officers,0
1985,Male Civilians,0
1985,Female Civilians,7
1986,Male Officers,9
1986,Female Officers,0
1986,Male Civilians,3
1986,Female Civilians,6
1987,Male Officers,12
1987,Female Officers,1
1987,Male Civilians,3
1987,Female Civilians,6
1988,Male Officers,12
1988,Female Officers,1
1988,Male Civilians,5
1988,Female Civilians,9
1989,Male Officers,12
1989,Female Officers,1
1989,Male Civilians,6
1989,Female Civilians,9
1990,Male Officers,12
1990,Female Officers,1
1990,Male Civilians,4
1990,Female Civilians,5
1991,Male Officers,16
1991,Female Officers,2
1991,Male Civilians,0
1991,Female Civilians,7
1992,Male Officers,17
1992,Female Officers,2
1992,Male Civilians,0
1992,Female Civilians,8
1993,Male Officers,14
1993,Female Officers,1
1993,Male Civilians,6
1993,Female Civilians,8
1994,Male Officers,15
1994,Female Officers,1
1994,Male Civilians,6
1994,Female Civilians,9
1995,Male Officers,15
1995,Female Officers,1
1995,Male Civilians,6
1995,Female Civilians,8
1996,Male Officers,16
1996,Female Officers,1
1996,Male Civilians,5
1996,Female Civilians,9
1997,Male Officers,18
1997,Female Officers,1
1997,Male Civilians,5
1997,Female Civilians,9
1998,Male Officers,19
1998,Female Officers,1
1998,Male Civilians,3
1998,Female Civilians,12
1999,Male Officers,16
1999,Female Officers,1
1999,Male Civilians,1
1999,Female Civilians,9
2000,Male Officers,17
2000,Female Officers,2
2000,Male Civilians,3
2000,Female Civilians,13
2001,Male Officers,19
2001,Female Officers,2
2001,Male Civilians,8
2001,Female Civilians,20
2002,Male Officers,22
2002,Female Officers,3
2002,Male Civilians,8
2002,Female Civilians,16
2003,Male Officers,27
2003,Female Officers,4
2003,Male Civilians,12
2003,Female Civilians,20
2004,Male Officers,30
2004,Female Officers,5
2004,Male Civilians,12
2004,Female Civilians,18
2005,Male Officers,34
2005,Female Officers,7
2005,Male Civilians,15
2005,Female Civilians,19
2006,Male Officers,35
2006,Female Officers,7
2006,Male Civilians,12
2006,Female Civilians,16
2007,Male Officers,19
2007,Female Officers,1
2007,Male Civilians,3
2007,Female Civilians,12
2008,Male Officers,21
2008,Female Officers,3
2008,Male Civilians,4
2008,Female Civilians,11
2009,Male Officers,38
2009,Female Officers,13
2009,Male Civilians,5
2009,Female Civilians,16
2010,Male Officers,41
2010,Female Officers,12
2010,Male Civilians,6
2010,Female Civilians,15
2011,Male Officers,39
2011,Female Officers,12
2011,Male Civilians,6
2011,Female Civilians,13
2012,Male Officers,19
2012,Female Officers,1
2012,Male Civilians,3
2012,Female Civilians,12
2013,Male Officers,19
2013,Female Officers,1
2013,Male Civilians,4
2013,Female Civilians,12
2014,Male Officers,40
2014,Female Officers,9
2014,Male Civilians,4
2014,Female Civilians,15
2015,Male Officers,39
2015,Female Officers,9
2015,Male Civilians,4
2015,Female Civilians,14
2016,Male Officers,46
2016,Female Officers,8
2016,Male Civilians,10
2016,Female Civilians,11
2017,Male Officers,38
2017,Female Officers,8
2017,Male Civilians,14
2017,Female Civilians,13
2018,Male Officers,35
2018,Female Officers,6
2018,Male Civilians,17
2018,Female Civilians,16
