year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NC0600100,4575,2992,56,48,1121,481,3172,2338,28512,5412,273,134,8563,1465,18447,3454,1502,493
1986,NC0600100,5487,3398,53,53,1454,588,3675,2576,29894,5439,324,100,9598,1357,18637,3567,1659,515
1987,NC0600100,5992,3680,52,42,1486,655,4146,2819,33617,6396,334,90,10117,1586,21723,4190,1777,620
1988,NC0600100,6815,3803,46,32,1933,699,4521,2892,37164,7162,410,125,10605,1578,24236,4785,2323,799
1989,NC0600100,7640,3875,73,51,2369,757,4873,2882,41701,7893,361,94,12772,2358,26228,4608,2701,927
1990,NC0600100,9119,4145,93,77,3208,926,5434,2951,40743,7784,408,139,10891,2283,27153,4616,2699,885
1991,NC0600100,8760,4245,114,76,2899,841,5340,3133,42140,7488,444,155,11615,1675,27799,5078,2726,735
1992,NC0600100,9456,4481,99,83,3058,862,5938,3389,42033,6925,413,137,12565,1562,27014,4655,2454,708
1993,NC0600100,9725,4748,122,95,3227,988,6020,3494,40033,6574,389,140,10691,1570,26370,4270,2972,734
1994,NC0600100,9102,4782,87,93,2713,864,5952,3645,41955,6975,420,158,10326,1702,28469,4353,3160,920
1995,NC0600100,9228,4460,89,71,2949,757,5824,3420,42882,6288,345,137,9959,1540,29273,3837,3650,911
1996,NC0600100,8915,3924,71,57,2594,665,5944,3043,44603,6240,439,73,10227,1211,30199,4139,4177,890
1997,NC0600100,9165,5105,59,61,2716,815,6045,4021,43719,6652,390,80,10413,1237,28922,4634,4384,781
1998,NC0600100,8627,4323,65,47,2400,747,5829,3322,43875,6009,286,135,10701,1112,29256,3832,3918,1065
1999,NC0600100,8138,3801,84,55,2517,708,5275,2848,45275,5251,290,65,10314,901,30116,3298,4845,1052
2000,NC0600100,7516,3470,75,59,2651,827,4482,2377,41948,5111,315,76,9598,908,27789,3086,4561,1117
2001,NC0600100,7775,3015,66,52,2996,784,4420,2023,41982,5264,317,65,10285,951,27291,3189,4406,1124
2002,NC0600100,7583,3116,67,39,2893,640,4334,2301,41014,4861,455,99,10516,957,25860,3053,4638,851
2003,NC0600100,7194,3919,66,43,2688,660,4134,2984,44534,6761,300,90,11066,1365,26628,3950,6840,1446
2004,NC0600100,7275,2272,59,26,2786,476,4118,1628,46927,4574,347,80,12021,926,28129,2785,6777,863
2005,NC0600100,7933,3026,85,55,3649,751,3876,1953,46589,6510,317,76,12783,1471,26708,3928,7098,1111
2006,NC0600100,7532,3167,83,57,3207,848,3896,1999,48886,6090,346,91,13582,1189,28154,4086,7150,815
2007,NC0600100,7233,2751,76,51,3191,764,3684,1737,51279,5599,388,57,12948,1199,32313,3738,6018,662
2008,NC0600100,7070,3002,83,59,2984,798,3731,1943,46934,6412,336,58,11933,1120,29735,4633,5266,659
2009,NC0600100,5625,2764,58,49,2346,673,2918,1818,38533,6428,249,73,9817,1054,25379,4976,3337,398
2010,NC0600100,4891,2548,61,54,1795,598,2796,1755,34701,6415,247,63,9325,991,22711,5069,2665,355
2011,NC0600100,4787,2401,56,53,1612,561,2901,1661,32008,6204,195,78,8536,935,21371,4987,2101,282
2012,NC0600100,5238,2563,52,40,1798,681,3165,1713,32587,6753,197,53,7761,926,22688,5584,2138,243
2013,NC0600100,5093,2343,59,40,1805,680,2999,1504,30569,6264,213,74,6439,815,22274,5165,1856,284
2014,NC0600100,5054,2240,47,31,1586,551,3211,1590,30565,5951,165,63,6031,798,22827,4930,1707,223
2015,NC0600100,5948,2527,61,50,1947,668,3724,1736,33075,6442,216,76,6755,758,24091,5345,2229,339
2016,NC0600100,6560,2688,67,57,2121,755,4153,1795,36732,6101,220,70,6691,865,27280,4834,2761,402
2017,NC0600100,6304,2755,86,78,2017,740,3965,1858,34894,5664,194,64,6416,979,25856,4216,2622,469
2018,NC0600100,6482,2201,59,48,1761,658,4408,1430,34881,4936,140,43,5670,749,26186,3659,3025,528
