year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,TX1010000,2449,986,66,36,1092,210,1057,628,32856,2292,408,384,11360,832,16565,1245,4931,215
1986,TX1010000,2841,1274,70,20,1263,375,1216,751,34800,2950,435,148,13779,928,15165,1734,5856,288
1987,TX1010000,2774,1039,80,47,1088,245,1318,577,37327,2995,428,71,13778,912,18018,1663,5531,420
1988,TX1010000,3121,1388,68,55,1275,343,1542,837,40510,2644,495,97,15543,849,18346,1401,6621,394
1989,TX1010000,3033,1543,60,43,1184,421,1579,944,39215,2606,451,65,13070,710,18043,1429,8102,467
1990,TX1010000,3757,1537,74,43,1469,484,2004,892,38864,3085,518,83,12185,709,17568,1796,9111,580
1991,TX1010000,4458,1053,102,69,1833,304,2182,592,37301,2059,572,49,11292,435,16064,1252,9945,372
1992,TX1010000,5032,872,76,36,1572,116,2911,681,36187,1500,605,96,10190,298,16633,1095,9364,107
1993,TX1010000,5223,767,71,4,1860,165,2362,540,33985,1594,480,84,8778,330,16924,1163,8283,101
1994,TX1010000,4457,1288,66,28,1204,227,2598,733,31077,2396,496,64,9140,355,15071,1038,6866,1003
1995,TX1010000,5228,1635,69,52,1305,268,3479,1206,29727,2378,441,34,8504,448,15614,1218,5609,712
1996,TX1010000,6056,2403,56,44,1297,295,4325,1928,32561,3007,510,37,8930,558,18888,2233,4743,216
1997,TX1010000,5593,2813,60,56,1220,356,4039,2256,31478,2654,486,31,8131,474,19028,1911,4319,269
1998,TX1010000,4837,2118,48,33,1031,294,3443,1650,29365,2340,495,54,7616,436,17640,1507,4109,397
1999,TX1010000,4584,2065,41,31,1141,322,3119,1595,28948,2342,523,63,7837,543,17685,1455,3426,344
2000,TX1010000,4592,2223,50,41,1081,318,3158,1750,31309,2835,555,62,7903,704,19460,1741,3946,390
2001,TX1010000,5201,2430,42,34,1326,399,3532,1883,33353,3563,532,71,8643,743,20361,2272,4349,548
2002,TX1010000,6140,2856,68,32,1717,452,4058,2237,36354,4253,577,92,9065,810,22207,2931,5082,512
2003,TX1010000,6569,3221,47,39,1807,420,4371,2623,37393,4450,543,68,9455,1039,23292,3000,4646,411
2004,TX1010000,6995,3693,56,33,1899,520,4670,3011,40324,4852,442,69,9941,1085,25694,3337,4689,430
2005,TX1010000,6952,3881,66,40,1912,490,4647,3230,41087,4569,403,83,10840,1071,25364,3013,4883,485
2006,TX1010000,7539,4068,67,48,2214,503,4920,3398,43004,4381,463,104,11543,1244,25710,2762,5751,375
2007,TX1010000,6731,1967,65,33,1987,243,4325,1590,48319,3602,250,62,13286,636,28382,2780,6651,186
2008,TX1010000,7924,3064,74,48,2441,403,5058,2467,47432,3931,424,38,13017,701,28560,2986,5855,244
2009,TX1010000,8439,2933,96,48,2975,412,5087,2419,54903,4830,435,46,15053,610,33921,4033,5929,187
2010,TX1010000,8089,2651,77,48,3059,355,4741,2216,55841,5179,401,34,15240,564,35318,4421,5283,194
2011,TX1010000,6891,2170,73,49,2357,279,4126,1768,51270,4578,427,51,14066,441,31818,3974,5386,163
2012,TX1010000,7416,1952,77,49,2744,262,4300,1589,52551,4767,331,15,13848,458,32259,4178,6444,131
2013,TX1010000,8589,2368,106,39,3260,283,4942,2003,50729,4910,241,22,13447,415,31501,4315,5781,180
2014,TX1010000,8668,2087,68,41,3384,261,4783,1742,48689,4824,235,14,11858,346,30520,4318,6311,160
2015,TX1010000,9209,2343,89,35,3452,315,5214,1941,45700,4670,194,18,9966,319,29300,4129,6434,222
2016,TX1010000,8854,2624,92,48,3044,260,5181,2245,45228,3958,292,28,9162,305,29962,3434,6104,219
2017,TX1010000,8994,3343,92,43,2906,279,5463,2945,42894,3182,173,19,8057,269,29396,2715,5441,198
2018,TX1010000,9208,2750,86,33,2271,194,6260,2452,41708,2767,121,7,7640,226,28113,2368,5955,173
