year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
2008,KY0420700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,KY0420700,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2011,KY0420700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,KY0420700,0,0,0,0,0,0,1,0,0,0,1,0,0,0
