year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NY0290000,1771,762,18,18,1000,244,667,478,32839,3231,226,91,6476,529,20611,2566,5752,136
1986,NY0290000,1978,960,19,18,1006,301,867,604,30581,4409,210,76,6542,869,18391,3127,5648,413
1987,NY0290000,1866,956,22,20,1010,333,751,547,30901,4873,172,95,6592,704,18666,3627,5643,542
1988,NY0290000,2021,1111,21,15,1032,382,882,667,30379,5464,311,89,5866,1052,17774,3676,6739,736
1989,NY0290000,1827,983,26,24,962,329,787,597,29145,5015,329,80,5363,772,17029,3640,6753,603
1990,NY0290000,1957,1010,21,18,1014,338,859,613,29961,5044,338,78,5207,766,17573,3660,7181,618
1991,NY0290000,2287,1180,27,27,1181,363,994,736,30362,5352,311,78,5609,835,17562,4023,7191,494
1992,NY0290000,2360,1086,18,20,1381,384,888,639,28215,4978,353,89,5461,736,15839,3782,6915,460
1993,NY0290000,2117,1134,18,16,1129,354,899,714,26905,4991,354,106,4417,641,16101,3899,6387,451
1994,NY0290000,1963,1075,13,11,1007,303,866,706,24656,5297,404,64,3915,558,15188,4202,5553,537
1995,NY0290000,1867,1290,17,17,877,446,903,777,23019,7912,227,54,3483,1474,15075,5971,4461,467
1996,NY0290000,1835,1106,8,9,835,308,921,739,22437,6545,215,63,3225,496,15337,5633,3875,416
1997,NY0290000,1614,1007,12,10,752,299,788,650,21234,6082,225,74,2711,520,14685,5152,3838,410
1998,NY0290000,1091,665,9,7,448,179,593,447,14571,3907,0,0,1908,309,10232,3373,2431,225
2002,NY0290000,1783,1521,16,10,749,572,926,860,15803,14964,0,0,2242,2083,11632,11050,1929,1831
2003,NY0290000,1790,1364,13,7,774,560,917,739,16046,13033,0,0,2567,1786,11702,9790,1777,1457
2004,NY0290000,1760,1575,10,3,724,622,949,880,15763,13902,115,39,2255,2035,11814,10241,1694,1626
2005,NY0290000,1793,498,16,0,833,129,868,354,14421,9129,137,0,2153,588,10836,7502,1432,1039
2006,NY0290000,1813,414,14,0,866,108,859,297,14713,8776,0,0,2170,405,11372,7645,1171,726
2007,NY0290000,1639,642,14,0,748,217,806,413,13886,9866,0,0,1807,555,10928,8558,1151,753
2008,NY0290000,1602,821,14,0,748,289,782,511,14847,11137,0,0,1929,791,11900,9656,1018,690
2009,NY0290000,1640,754,18,0,754,269,794,471,15185,11340,0,0,1998,824,12066,9726,1121,790
2010,NY0290000,1496,851,15,1,672,329,739,511,13879,10651,20,4,1925,1008,11117,9017,837,626
2011,NY0290000,1459,1271,7,3,713,589,695,642,13312,12084,119,22,2062,1813,10483,9607,767,664
2012,NY0290000,1654,813,12,0,723,248,863,547,13303,7193,79,0,2026,660,10562,6350,715,183
2013,NY0290000,1394,704,12,3,706,224,633,462,12889,5448,79,10,1737,341,10558,4998,594,109
2014,NY0290000,1329,657,6,3,550,164,670,455,12209,4895,94,12,1460,213,10174,4599,575,83
2015,NY0290000,1318,667,13,6,555,155,682,474,11396,4621,97,18,1311,228,9596,4333,489,60
2016,NY0290000,1167,625,12,8,478,169,629,436,10660,4560,68,12,1144,238,9054,4232,462,90
2017,NY0290000,1113,649,10,2,416,136,659,507,10103,3586,65,14,888,223,8768,3280,447,83
2018,NY0290000,1000,581,11,0,337,131,639,447,9650,3383,39,10,786,132,8406,3187,458,64
