year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,CA0431300,3470,1777,55,44,1237,473,1763,1040,36754,6161,514,78,9359,855,24331,4773,3064,533
1986,CA0431300,4020,2186,39,28,1126,385,2425,1498,34959,6161,382,71,7663,698,24241,4922,3055,541
1987,CA0431300,4378,2407,24,23,944,333,3017,1813,32140,6040,386,49,6434,649,22259,4845,3447,546
1988,CA0431300,4689,2430,37,23,948,420,3266,1762,33717,6119,333,53,6560,603,23118,4843,4039,673
1989,CA0431300,4535,2225,38,34,995,417,3103,1549,34400,6139,380,33,6318,472,23656,5106,4426,561
1990,CA0431300,4698,2307,35,21,1034,340,3213,1716,33392,5818,456,99,5752,388,23435,4961,4205,469
1991,CA0431300,5258,2475,53,29,1328,510,3432,1664,37578,5720,327,74,7403,447,25663,4797,4512,476
1992,CA0431300,5427,2421,43,27,1231,503,3705,1605,34375,5723,320,59,6776,475,23806,4890,3793,358
1993,CA0431300,5317,2421,41,38,1186,531,3699,1606,31426,5349,318,69,6014,404,21398,4541,4014,404
1994,CA0431300,5915,2535,33,28,1109,471,4398,1796,30644,4705,474,42,5823,339,20300,3846,4521,520
1995,CA0431300,6649,2778,38,31,1209,456,5015,2078,29447,4938,539,43,5477,321,19745,4059,4225,558
1996,CA0431300,6075,2736,40,26,1098,470,4596,2037,28212,4736,655,42,4700,356,19793,3854,3719,526
1997,CA0431300,6191,2773,43,23,908,414,4865,2132,26339,4467,114,59,4381,273,18023,3603,3935,591
1998,CA0431300,5155,2150,29,22,901,346,3868,1608,25227,4319,311,0,4129,263,17925,3504,3173,552
1999,CA0431300,5088,2852,25,22,726,430,3990,2152,20696,3666,349,47,2685,340,15151,2861,2860,465
2000,CA0431300,4928,3010,19,16,677,421,3895,2304,17880,3666,388,33,2670,277,12595,2935,2615,454
2001,CA0431300,5564,1675,22,11,712,172,4501,1385,19599,2123,497,62,2939,157,13567,1644,3093,322
2002,CA0431300,4134,1415,26,26,827,205,2902,1093,20005,3378,258,25,3026,204,13642,2897,3337,277
2003,CA0431300,3378,1120,29,23,815,192,2255,847,20748,3156,208,10,3314,191,13770,2621,3664,344
2004,CA0431300,3379,1148,24,20,785,210,2314,872,22298,3524,248,16,3616,215,14165,2622,4517,687
2005,CA0431300,3492,1194,26,25,884,210,2319,890,22930,4919,388,48,4049,298,13374,2387,5507,2234
2006,CA0431300,3561,1125,29,18,1030,233,2285,831,24240,4943,437,57,4423,245,12678,2222,7139,2476
2007,CA0431300,3759,1194,33,24,1068,267,2441,859,24062,3839,339,67,4449,322,13200,2207,6413,1310
2008,CA0431300,3643,1193,31,20,1124,283,2268,852,22298,3456,288,66,3457,426,13612,2543,5229,487
2009,CA0431300,3439,1171,28,20,1025,278,2128,827,22755,3471,243,31,3741,215,13635,2822,5379,434
2010,CA0431300,3215,1107,20,14,976,259,1966,785,22081,3105,181,15,3940,220,12730,2406,5411,479
2011,CA0431300,3206,1050,39,27,1101,262,1840,728,21972,2886,165,15,4223,238,12628,2143,5121,505
2012,CA0431300,3547,1043,45,26,1208,286,2014,704,28463,2784,176,10,5206,224,14498,2004,8759,556
2013,CA0431300,3215,1155,38,24,1095,314,1812,777,25510,2778,133,9,5173,299,12411,1988,7926,491
2014,CA0431300,3242,1183,32,22,1072,349,1832,770,24577,2305,123,31,5167,244,11850,1681,7560,380
2015,CA0431300,3400,1134,30,22,1140,295,1855,763,25035,2202,93,10,4896,214,13138,1635,7001,353
2016,CA0431300,3887,1384,47,24,1214,367,2175,939,24749,2082,137,20,4260,188,12786,1467,7703,427
2017,CA0431300,4188,1386,32,18,1376,426,2209,874,25323,1858,173,31,3926,245,13329,1092,8068,521
2018,CA0431300,4444,1393,28,20,1593,484,2208,832,25753,1673,121,19,4539,243,13510,1007,7704,423
