Series,Year,Rate
1985,Male Officers,1600
1985,Female Officers,104
1985,Male Civilians,220
1985,Female Civilians,436
1986,Male Officers,1605
1986,Female Officers,120
1986,Male Civilians,214
1986,Female Civilians,451
1987,Male Officers,1660
1987,Female Officers,143
1987,Male Civilians,188
1987,Female Civilians,454
1988,Male Officers,1656
1988,Female Officers,145
1988,Male Civilians,214
1988,Female Civilians,464
1989,Male Officers,1758
1989,Female Officers,159
1989,Male Civilians,219
1989,Female Civilians,478
1990,Male Officers,1780
1990,Female Officers,160
1990,Male Civilians,215
1990,Female Civilians,473
1991,Male Officers,1813
1991,Female Officers,169
1991,Male Civilians,192
1991,Female Civilians,480
1992,Male Officers,1765
1992,Female Officers,174
1992,Male Civilians,189
1992,Female Civilians,474
1993,Male Officers,1789
1993,Female Officers,189
1993,Male Civilians,204
1993,Female Civilians,476
1994,Male Officers,1878
1994,Female Officers,210
1994,Male Civilians,248
1994,Female Civilians,508
1995,Male Officers,1941
1995,Female Officers,242
1995,Male Civilians,271
1995,Female Civilians,534
1996,Male Officers,2001
1996,Female Officers,254
1996,Male Civilians,323
1996,Female Civilians,562
1997,Male Officers,2099
1997,Female Officers,276
1997,Male Civilians,317
1997,Female Civilians,596
1998,Male Officers,2189
1998,Female Officers,304
1998,Male Civilians,276
1998,Female Civilians,590
1999,Male Officers,2245
1999,Female Officers,333
1999,Male Civilians,305
1999,Female Civilians,633
2000,Male Officers,2272
2000,Female Officers,345
2000,Male Civilians,257
2000,Female Civilians,624
2001,Male Officers,2327
2001,Female Officers,348
2001,Male Civilians,277
2001,Female Civilians,641
2002,Male Officers,2411
2002,Female Officers,362
2002,Male Civilians,218
2002,Female Civilians,637
2003,Male Officers,2393
2003,Female Officers,357
2003,Male Civilians,237
2003,Female Civilians,637
2004,Male Officers,2489
2004,Female Officers,370
2004,Male Civilians,214
2004,Female Civilians,669
2005,Male Officers,2529
2005,Female Officers,369
2005,Male Civilians,216
2005,Female Civilians,668
2006,Male Officers,2521
2006,Female Officers,375
2006,Male Civilians,233
2006,Female Civilians,700
2007,Male Officers,2716
2007,Female Officers,435
2007,Male Civilians,385
2007,Female Civilians,748
2008,Male Officers,2887
2008,Female Officers,464
2008,Male Civilians,319
2008,Female Civilians,750
2009,Male Officers,2833
2009,Female Officers,446
2009,Male Civilians,325
2009,Female Civilians,756
2010,Male Officers,2721
2010,Female Officers,425
2010,Male Civilians,317
2010,Female Civilians,735
2011,Male Officers,2667
2011,Female Officers,412
2011,Male Civilians,323
2011,Female Civilians,767
2012,Male Officers,2584
2012,Female Officers,395
2012,Male Civilians,297
2012,Female Civilians,710
2013,Male Officers,2510
2013,Female Officers,380
2013,Male Civilians,296
2013,Female Civilians,719
2014,Male Officers,2440
2014,Female Officers,365
2014,Male Civilians,281
2014,Female Civilians,627
2015,Male Officers,2423
2015,Female Officers,358
2015,Male Civilians,279
2015,Female Civilians,638
2016,Male Officers,2412
2016,Female Officers,350
2016,Male Civilians,269
2016,Female Civilians,675
2017,Male Officers,2469
2017,Female Officers,369
2017,Male Civilians,270
2017,Female Civilians,708
2018,Male Officers,2524
2018,Female Officers,395
2018,Male Civilians,275
2018,Female Civilians,708
