year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,IN0490400,10,4,6,0,18,2,0,0,407,63,22,2,447,67,2,0,14,4
1986,IN0490400,5,2,0,0,20,0,0,0,510,127,24,5,554,132,2,2,7,4
1987,IN0490400,25,15,1,0,23,2,0,0,619,86,29,7,671,95,2,0,28,16
1988,IN0490400,22,16,2,0,13,1,0,0,684,55,26,5,723,61,2,1,24,17
1989,IN0490400,2,2,1,0,13,3,0,0,686,46,25,2,724,51,6,1,9,3
1990,IN0490400,3,2,2,0,15,2,0,0,599,63,25,9,639,74,1,0,6,3
1991,IN0490400,7,6,2,0,10,0,0,0,663,61,39,2,712,63,7,2,16,10
1992,IN0490400,2,2,0,0,14,3,0,0,727,58,28,3,769,64,8,4,13,7
1993,IN0490400,2,1,0,0,8,1,0,0,602,70,21,6,631,77,6,2,9,3
1994,IN0490400,0,1,2,0,4,1,0,0,546,43,17,5,567,49,2,0,2,2
1995,IN0490400,0,0,0,0,7,1,0,0,600,56,9,2,616,59,3,3,5,4
1996,IN0490400,0,0,1,0,7,1,0,0,582,41,21,5,610,47,5,0,5,0
1997,IN0490400,1,0,1,0,2,0,0,0,374,34,27,5,403,39,1,0,3,0
1998,IN0490400,1,1,1,0,4,1,1,0,354,76,11,2,369,79,2,0,4,1
1999,IN0490400,1,1,0,0,1,0,0,1,361,55,18,1,380,56,2,0,3,2
2000,IN0490400,1,0,0,0,11,1,0,0,361,56,9,1,381,58,4,0,5,0
2001,IN0490400,1,1,0,0,10,1,0,0,324,17,7,2,341,20,4,0,5,1
2002,IN0490400,0,0,0,0,10,0,0,0,456,13,8,0,474,13,4,0,5,1
2003,IN0490400,3,0,0,0,5,0,0,0,511,0,17,0,533,0,0,0,3,0
2004,IN0490400,2,1,1,0,6,0,0,0,436,14,10,2,452,16,1,0,4,1
2005,IN0490400,0,0,0,0,47,2,0,0,319,11,11,1,377,14,7,0,10,2
2006,IN0490400,1,1,0,0,82,0,0,0,275,5,23,1,380,6,1,1,3,1
2007,IN0490400,6,5,0,0,99,5,0,0,307,8,13,1,419,14,0,0,6,5
2008,IN0490400,2,1,1,0,70,3,0,0,296,8,19,0,385,11,3,1,5,2
2009,IN0490400,5,2,1,0,64,2,0,0,287,10,13,0,364,12,4,2,10,4
2010,IN0490400,0,0,0,0,44,2,0,0,195,6,11,0,250,8,2,2,2,2
2011,IN0490400,4,2,0,0,57,0,0,0,227,2,12,2,296,4,4,1,9,3
2012,IN0490400,6,1,1,0,65,0,0,0,274,4,6,1,345,5,0,0,7,1
2013,IN0490400,6,1,1,1,52,7,0,0,231,8,5,0,288,15,4,0,11,1
2014,IN0490400,1,0,0,0,32,2,0,0,243,4,7,0,282,6,5,0,9,0
2015,IN0490400,4,0,0,0,18,5,0,0,201,10,9,2,228,17,4,2,12,3
2016,IN0490400,4,1,1,0,21,2,0,0,279,7,18,2,318,11,2,0,9,2
2017,IN0490400,3,0,2,0,18,1,0,0,223,5,11,2,252,8,5,0,14,1
2018,IN0490400,3,2,0,0,12,1,0,0,245,32,6,1,263,34,3,0,15,3
