year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,FL0290000,1832,1095,229,23,6979,1341,39,32,14004,2430,1593,272,22576,4043,661,186,2694,1365
1986,FL0290000,2033,1214,48,0,8433,1423,38,31,16940,2689,1749,265,27122,4377,965,278,3210,1570
1987,FL0290000,1866,1048,79,6,8959,1295,22,14,15694,2554,2120,260,26773,4109,1086,289,3138,1393
1989,FL0290000,2654,0,99,0,9313,0,38,0,19766,0,4027,0,33106,0,1136,0,4078,0
1990,FL0290000,2623,1667,104,21,7155,915,28,19,16447,2352,3320,398,26922,3665,866,289,3719,2071
1991,FL0290000,3343,1982,118,31,8565,990,42,36,20683,3603,4278,593,33526,5186,1084,339,4698,2491
1992,FL0290000,3511,1903,148,27,8259,863,30,23,20782,2920,4676,590,33717,4373,924,280,4747,2331
1993,FL0290000,3204,1902,121,24,7982,1044,25,25,20201,2980,4561,622,32744,4646,1013,298,4532,2372
1994,FL0290000,3143,1793,134,25,7660,873,36,33,22272,3193,5391,769,35323,4835,1047,295,4450,2252
1995,FL0290000,2901,1854,97,18,7035,825,26,11,21528,3322,4142,717,32705,4864,894,280,4019,2271
1996,FL0290000,3016,0,0,0,7305,0,28,0,23223,0,3526,0,34054,0,1041,0,4302,0
1997,FL0290000,2762,1877,70,12,5959,899,26,15,22184,4241,3239,686,31382,5826,1024,397,4034,2459
1998,FL0290000,2912,1858,72,16,6149,760,35,23,21718,3422,3594,750,31461,4932,858,288,4066,2347
1999,FL0290000,2972,2032,84,6,6088,1034,32,27,23533,3674,3929,988,33550,5696,963,334,4250,2632
2000,FL0290000,3237,2229,107,8,5443,962,36,30,19480,3570,3978,837,28901,5369,828,296,4415,2773
2001,FL0290000,3419,2315,133,23,5987,809,21,12,20109,3647,4125,827,30221,5283,865,342,4537,2847
2002,FL0290000,3697,2371,127,16,6556,968,31,25,20828,3850,4275,989,31659,5807,1053,380,5049,2949
2003,FL0290000,4096,2554,172,25,6677,1008,29,24,21417,4412,3882,832,31976,6252,1077,478,5515,3260
2004,FL0290000,3560,2411,134,14,6320,1039,27,25,19643,4554,3485,791,29448,6384,1000,420,4840,3057
2005,FL0290000,3801,2477,86,18,5965,1009,23,19,19072,4506,3052,719,28089,6234,895,356,4991,3028
2006,FL0290000,3615,2278,126,20,6507,1085,30,26,20494,3909,3548,757,30549,5751,1095,317,4947,2762
2007,FL0290000,3230,1927,107,14,6742,919,35,19,19817,4296,3207,637,29766,5852,1302,347,4799,2423
2008,FL0290000,3551,2135,82,12,7505,1111,46,33,19144,5110,2464,451,29113,6672,1089,347,4927,2608
2009,FL0290000,2715,1996,47,5,7515,1266,34,21,17141,5067,1981,345,26637,6678,978,345,3893,2482
2010,FL0290000,2258,1322,24,5,5863,986,36,30,15099,3680,1480,192,22442,4858,700,256,3136,1666
2011,FL0290000,1439,868,41,0,5104,836,28,34,13190,3422,1193,200,19487,4458,530,217,2130,1179
2012,FL0290000,1513,1026,21,3,4143,706,28,18,12707,3590,1053,251,17903,4547,495,192,2152,1306
2013,FL0290000,1320,957,23,7,4080,739,33,30,11840,3680,944,237,16864,4656,472,183,1990,1268
2014,FL0290000,1317,1009,37,7,3504,601,22,21,11592,3519,1053,306,16149,4426,444,201,1937,1356
2015,FL0290000,1433,1145,36,13,3127,685,33,26,11342,3607,1052,316,15521,4608,371,181,2031,1486
2016,FL0290000,1374,999,75,9,2600,612,27,19,9972,2815,1186,341,13758,3768,352,194,1926,1325
2017,FL0290000,1450,1099,49,11,2496,532,24,22,10091,2705,1164,380,13751,3617,351,151,2037,1384
