year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,WV0060200,537,373,5,5,129,44,349,286,3974,1031,99,31,1128,262,2567,708,279,61
1986,WV0060200,476,341,4,5,103,41,325,265,3851,729,84,24,1040,181,2572,494,239,54
1987,WV0060200,322,199,5,5,97,32,176,137,3631,323,75,18,1021,86,2378,197,232,40
1988,WV0060200,340,206,5,5,110,55,191,124,3858,705,93,20,972,162,2633,499,253,44
1989,WV0060200,305,130,7,7,109,33,149,82,3753,678,104,21,966,104,2603,542,184,32
1990,WV0060200,318,102,7,5,131,25,140,59,3996,567,63,15,1113,117,2826,436,57,14
1991,WV0060200,306,120,3,3,124,29,150,82,3995,754,60,8,988,86,2975,660,32,8
1992,WV0060200,369,117,7,13,120,27,161,54,3568,596,59,4,809,67,2687,528,72,1
1993,WV0060200,304,107,2,3,83,30,158,60,3182,433,33,2,787,61,2259,362,136,10
1994,WV0060200,355,98,6,3,126,23,152,63,3105,276,52,6,785,76,2150,174,170,26
1995,WV0060200,281,81,3,6,103,26,108,40,3104,299,65,11,696,88,2232,193,176,18
1996,WV0060200,312,82,4,4,92,16,143,56,3222,521,55,8,735,74,2301,439,186,8
1997,WV0060200,318,32,5,1,129,20,114,9,3316,198,58,5,1294,94,1812,93,210,11
1998,WV0060200,268,23,7,1,98,4,112,13,3058,88,41,12,1267,41,1621,45,170,2
2000,WV0060200,353,67,2,1,139,22,165,43,3721,100,0,0,876,57,2516,28,329,15
2001,WV0060200,288,45,2,2,113,15,143,28,2567,94,16,0,679,57,1626,27,262,10
2002,WV0060200,250,44,4,2,91,14,112,25,2966,64,30,1,714,20,1942,38,310,6
2003,WV0060200,286,45,4,1,134,18,111,25,3723,131,22,2,1085,47,2333,60,305,24
2004,WV0060200,300,45,4,2,130,18,110,23,3520,141,15,1,868,50,2364,71,288,20
2005,WV0060200,325,58,11,6,164,13,114,35,3677,152,28,0,1071,44,2296,74,310,34
2006,WV0060200,351,70,0,0,180,23,125,44,3848,164,9,1,1212,65,2329,67,307,32
2007,WV0060200,367,67,3,2,181,25,136,36,3631,149,27,4,1268,65,2066,55,297,29
2008,WV0060200,308,60,7,6,162,22,92,27,3184,111,14,3,998,44,1921,50,265,17
2009,WV0060200,320,64,4,2,161,29,121,32,2965,108,19,3,932,64,1856,34,177,10
2010,WV0060200,229,35,1,1,146,16,54,16,2297,77,20,4,684,39,1494,32,119,6
2011,WV0060200,242,62,2,2,136,23,81,33,2148,112,15,2,735,61,1301,44,112,7
2012,WV0060200,248,54,2,2,131,18,86,32,2912,115,67,5,1013,56,1764,52,135,7
2013,WV0060200,119,19,1,0,50,9,37,9,2016,44,10,0,583,23,1341,20,92,1
2014,WV0060200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2016,WV0060200,381,87,4,3,126,24,218,57,2390,126,20,2,774,42,1501,75,115,9
2017,WV0060200,519,104,18,13,139,21,250,66,2271,220,17,3,635,63,1436,150,200,7
