year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,CA0190000,10624,5241,164,63,3822,995,6118,3908,38794,4632,672,67,14937,1938,17221,2031,6636,663
1986,CA0190000,11499,4824,170,49,3398,694,7459,3842,35606,3375,648,47,13408,1396,15267,1395,6931,584
1987,CA0190000,12325,4108,164,80,3222,630,8480,3186,32520,2539,617,23,11456,1024,13814,1086,7250,429
1988,CA0190000,12331,3787,157,76,3210,864,8591,2673,30696,2743,548,31,10308,1075,12928,1111,7460,557
1989,CA0190000,15563,4754,176,65,4053,955,10948,3645,32636,2384,552,23,10262,935,14037,978,8337,471
1990,CA0190000,17404,8398,215,82,4664,1632,12125,6503,33173,5231,669,90,10394,1932,13908,2280,8871,1019
1991,CA0190000,17018,8497,226,124,4527,1081,11847,7038,31497,4002,585,74,9921,1246,13238,2006,8338,750
1992,CA0190000,18730,9411,228,77,5471,1327,12672,7787,30830,4065,722,57,9805,1445,12411,1854,8614,766
1993,CA0190000,16054,8212,229,73,4603,1063,10901,6857,29067,3696,552,44,8824,1176,11825,1814,8418,706
1994,CA0190000,15078,7875,209,80,4095,945,10511,6706,27656,3272,502,64,8417,1036,11072,1506,8167,730
1995,CA0190000,14140,7297,227,59,3657,884,9970,6205,25806,2958,447,39,7694,1009,11099,1364,7013,585
1996,CA0190000,12772,7079,165,68,3222,778,9106,6044,24285,3056,482,44,7207,980,10582,1449,6496,627
1997,CA0190000,11427,6925,146,61,2721,728,8325,5967,21115,2889,419,30,6273,884,9225,1413,5617,592
1998,CA0190000,10270,6481,131,77,2219,668,7664,5576,18806,2592,410,0,5612,803,8760,1328,4434,461
1999,CA0190000,9015,5428,117,67,2010,569,6674,4648,17716,2539,452,43,4805,689,8478,1286,4433,564
2000,CA0190000,9401,4408,111,28,1937,444,7105,3818,18399,2106,480,39,5017,636,8497,1017,4885,453
2001,CA0190000,7997,4123,108,10,1910,460,5750,3505,19278,2440,502,44,5136,683,9019,1219,5123,538
2002,CA0190000,8504,4818,135,65,1918,526,6181,4038,19430,2723,563,56,5124,736,8871,1283,5435,704
2003,CA0190000,7971,4221,144,46,1756,465,5846,3570,20591,2383,539,39,4921,598,9463,1170,6207,615
2004,CA0190000,7201,3959,170,54,1776,504,5031,3235,20750,2548,469,42,5042,703,9191,1259,6517,586
2005,CA0190000,7459,3318,168,28,1910,508,5148,2620,20433,2454,420,42,5024,695,8682,1059,6727,700
2006,CA0190000,7290,3321,135,41,2008,520,4925,2624,20127,2245,374,14,4890,682,9042,980,6195,583
2007,CA0190000,7784,3889,127,40,2185,626,5254,3080,20516,2339,455,48,5293,718,9516,1137,5707,484
2008,CA0190000,7362,3998,135,55,1967,603,5028,3189,19893,2579,417,40,5311,870,9200,1278,5382,431
2009,CA0190000,6540,3639,102,31,1895,637,4334,2806,18043,2208,314,37,5033,711,8645,1105,4365,392
2010,CA0190000,6497,3589,86,43,1770,555,4433,2848,17310,2262,243,30,5046,739,8174,1162,4090,361
2011,CA0190000,5595,3235,88,32,1484,487,3858,2601,16010,2038,222,28,4624,738,7730,977,3656,323
2012,CA0190000,5458,2967,75,30,1490,463,3732,2366,16981,2073,207,26,4816,796,8223,977,3942,300
2013,CA0190000,5323,2741,72,26,1357,436,3723,2134,16004,1913,157,20,4363,590,8095,984,3546,339
2014,CA0190000,5091,3140,71,11,1280,497,3539,2481,15402,2025,198,40,3949,625,7992,1104,3461,296
2015,CA0190000,5173,3344,98,30,1212,487,3559,2597,16301,1900,215,43,3739,491,8359,1024,4203,385
2016,CA0190000,6124,3318,94,34,1474,460,4249,2617,17498,1881,227,25,3816,462,9328,1025,4354,394
2017,CA0190000,6118,3836,71,30,1566,538,4154,3001,17336,1722,253,45,3789,427,9155,891,4392,404
2018,CA0190000,5790,3405,73,29,1457,481,3969,2674,15912,1699,214,54,3397,437,8676,881,3839,381
