year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,FL0160200,3813,2807,415,15,13663,1599,90,63,25806,4232,2154,550,41623,6381,2693,717,7301,3991
1986,FL0160200,4281,2737,447,0,16498,2077,119,77,31668,4837,3241,798,51407,7712,2985,965,8003,4208
1987,FL0160200,4945,2956,491,104,20745,2420,147,88,38820,6232,5085,1044,64650,9696,3876,1164,9577,4649
1989,FL0160200,4735,0,345,0,19708,0,165,0,33267,0,5227,0,58202,0,3940,0,9449,0
1990,FL0160200,6811,4189,418,91,17529,2196,176,114,31392,6179,6043,867,54964,9242,3963,1208,11654,5951
1991,FL0160200,6452,4225,397,72,17306,2369,127,91,33372,7192,7251,896,57929,10457,4131,1181,11512,6045
1992,FL0160200,7098,4335,363,66,16304,1919,123,73,33138,6447,8787,777,58229,9143,3614,879,11548,5661
1993,FL0160200,6989,4268,387,59,15127,1836,125,100,33788,6175,7162,843,56077,8854,3604,881,11417,5667
1994,FL0160200,6242,3809,423,66,14327,1629,106,78,34448,6037,6794,716,55569,8382,3427,750,10423,4943
1995,FL0160200,5965,3784,395,46,12491,1309,86,46,33306,6347,5736,663,51533,8319,2920,605,9596,4725
1996,FL0160200,6207,0,442,0,13171,0,85,0,31852,0,4746,0,49769,0,2792,0,9765,0
1997,FL0160200,6387,0,409,0,12343,0,75,0,30790,0,5408,0,48541,0,2369,0,9437,0
1998,FL0160200,5467,3672,376,37,10849,1248,74,42,30472,5308,5291,801,46612,7357,2051,474,8113,4480
1999,FL0160200,5020,0,309,25,9651,0,83,0,28445,0,4877,0,42973,0,1703,0,7265,0
2000,FL0160200,5663,3728,326,27,9955,1568,79,58,28378,4924,4533,735,42866,7227,2022,527,8207,4630
2001,FL0160200,4831,3006,311,40,9903,1377,75,43,28827,4870,5132,747,43862,6994,2195,611,7388,3848
2002,FL0160200,4660,2899,297,37,9173,1420,90,52,29391,5006,5414,740,43978,7166,2016,575,7043,3728
2003,FL0160200,4080,2305,283,34,8910,1304,92,56,30043,5157,4838,703,43791,7164,2344,553,6729,3060
2004,FL0160200,3997,2215,251,46,9066,1278,104,56,29448,5052,4724,663,43238,6993,2223,519,6533,2963
2005,FL0160200,4067,2063,182,29,8998,1067,91,56,29583,4435,4936,670,43517,6172,2253,458,6600,2718
2006,FL0160200,4031,2028,172,22,9615,1081,110,71,29167,3994,4321,648,43103,5723,2304,401,6663,2627
2007,FL0160200,4660,2313,187,32,11115,1036,123,70,29484,4883,4817,683,45416,6602,3114,541,8146,3057
2008,FL0160200,4717,2301,122,11,12012,1234,115,76,30157,5369,4029,625,46198,7228,2938,676,8032,3227
2009,FL0160200,4096,4899,103,20,11306,1369,99,78,27754,5622,2721,533,41781,7524,2359,559,6772,5687
2010,FL0160200,3380,1902,99,21,9588,1211,80,66,25863,4239,1973,312,37424,5762,1693,451,5469,2598
2011,FL0160200,3183,1848,108,0,8518,1153,71,59,25733,4187,1862,355,36113,5695,1578,479,5182,2533
2012,FL0160200,3384,1837,80,24,7632,974,93,64,25403,4600,1639,250,34674,5824,1371,380,5189,2463
2013,FL0160200,3277,1715,97,14,7069,997,93,51,24361,4475,1577,284,33007,5756,1424,371,5246,2429
2014,FL0160200,3859,1718,92,9,6806,860,96,62,24945,4132,1981,333,33732,5325,1419,368,5853,2425
2015,FL0160200,3656,1637,71,12,6082,862,97,45,23456,3762,2316,432,31854,5056,1398,324,5622,2311
2016,FL0160200,3418,1486,83,21,5851,707,106,63,22660,3034,3027,545,31538,4286,1463,377,5504,2174
2017,FL0160200,3625,1464,96,20,5646,797,109,59,22980,2764,2925,515,31551,4076,1376,385,5648,2183
