ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
CA0370900,2018,184,126,1,24,1,14,180,285,413,2,6,14,0,0,0,164,2,0,29,3,0,28,3,42,10,84,10,0,5,32,45
CA0370900,2017,204,261,2,36,5,2,185,336,348,3,10,8,0,0,0,248,7,0,50,7,0,37,9,38,14,87,11,0,26,38,35
CA0370900,2016,224,268,2,36,9,2,161,527,288,1,11,6,0,0,0,382,7,0,49,5,0,17,6,51,15,89,6,0,36,27,39
CA0370900,2015,211,221,2,38,4,2,188,472,244,4,9,16,0,0,0,469,11,0,43,2,1,18,4,81,7,93,13,0,9,26,37
CA0370900,2014,215,178,6,159,4,4,201,295,273,5,5,9,0,0,0,315,13,1,35,6,2,28,5,62,11,115,25,0,6,24,31
CA0370900,2013,203,230,1,196,3,6,146,319,298,3,11,17,0,0,0,290,2,0,18,2,1,36,5,86,19,101,23,0,13,27,40
CA0370900,2012,202,241,8,265,3,6,147,316,219,1,15,23,0,0,0,433,4,0,41,12,0,15,5,99,22,92,26,0,3,20,32
CA0370900,2011,169,262,1,242,6,1,142,281,235,3,19,17,0,0,0,414,64,0,37,2,2,25,9,55,16,116,19,0,16,24,32
CA0370900,2010,187,228,2,162,11,6,203,349,313,3,15,11,1,0,0,408,1,0,26,4,1,14,4,44,13,91,26,0,10,29,42
CA0370900,2009,151,284,1,185,18,3,150,327,314,5,24,18,0,0,0,468,34,0,22,6,0,20,6,76,13,89,21,0,5,25,31
CA0370900,2008,188,325,2,176,8,3,158,332,252,3,26,27,0,0,0,404,20,0,31,2,0,95,5,85,18,104,18,0,17,22,40
CA0370900,2007,187,181,0,138,17,2,122,279,208,15,18,39,0,0,0,280,6,0,42,4,1,44,3,51,11,64,32,0,3,42,41
CA0370900,2006,190,197,4,147,6,6,155,345,205,11,19,14,0,0,0,346,2,0,48,3,3,89,4,59,12,99,38,0,5,51,61
CA0370900,2005,275,241,4,184,6,9,120,546,207,20,38,15,0,0,0,341,12,0,88,3,0,72,1,45,12,167,36,0,0,50,61
CA0370900,2004,252,170,4,194,1,6,125,505,232,7,63,17,2,0,0,425,31,0,83,3,0,89,7,32,15,150,44,0,3,73,59
CA0370900,2003,242,198,2,121,9,4,107,370,174,10,52,20,0,0,0,270,6,1,54,1,0,56,10,52,17,131,47,0,1,66,51
CA0370900,2002,261,208,6,138,3,7,131,391,232,4,65,13,2,0,0,218,24,0,16,3,0,83,9,46,30,127,57,0,1,66,48
CA0370900,2001,264,162,3,141,8,4,236,473,246,9,61,14,0,0,0,176,33,0,22,0,2,95,3,59,16,122,69,0,6,55,53
CA0370900,2000,289,168,2,171,13,0,208,439,242,3,55,14,1,0,0,242,54,0,12,8,2,19,8,66,25,139,55,0,3,31,47
CA0370900,1999,318,205,1,206,29,14,200,500,321,11,44,13,0,0,0,285,122,0,18,3,1,34,2,71,18,197,72,0,4,73,62
CA0370900,1998,366,194,5,212,112,19,107,321,327,7,32,6,0,0,0,310,25,0,24,4,2,23,6,99,16,172,88,0,1,75,70
CA0370900,1997,323,200,6,229,99,8,108,470,367,2,68,10,0,0,0,336,36,0,36,5,2,173,10,59,30,139,98,0,2,73,60
CA0370900,1996,307,223,5,315,105,14,101,421,320,4,50,8,0,0,0,469,9,1,20,7,2,145,8,109,35,135,119,0,2,92,62
CA0370900,1995,369,112,3,302,156,17,135,524,460,5,35,22,0,0,0,491,14,1,40,15,1,11,10,109,29,175,99,0,2,111,89
CA0370900,1994,277,114,6,289,180,44,101,337,504,1,26,13,0,0,0,594,9,0,41,9,3,30,12,107,27,156,111,0,0,90,119
CA0370900,1993,357,157,8,446,228,42,164,539,627,1,33,15,0,0,0,645,6,0,28,9,4,30,12,88,29,177,109,0,2,147,134
CA0370900,1992,471,159,4,551,338,26,251,965,825,4,29,19,0,0,0,674,14,2,50,15,0,36,26,149,31,209,175,0,13,155,153
CA0370900,1991,410,197,9,425,501,58,362,951,1181,2,27,18,0,0,0,598,33,1,30,34,2,40,9,122,29,218,222,0,7,156,136
CA0370900,1990,288,162,6,429,242,44,578,903,820,4,13,19,0,0,0,735,42,1,44,12,0,74,15,104,34,182,313,0,11,102,111
CA0370900,1989,269,212,7,496,4,51,279,655,445,9,9,12,0,0,0,758,29,3,87,19,1,94,19,97,39,178,251,0,37,57,99
CA0370900,1988,302,130,5,440,0,41,200,396,481,10,15,29,0,0,0,654,17,0,86,25,0,3,22,97,39,197,204,0,6,60,78
CA0370900,1987,253,156,7,381,26,60,299,645,353,10,19,24,0,0,0,606,24,2,96,8,1,1,26,84,49,184,192,0,12,97,89
CA0370900,1986,191,299,5,329,61,37,339,1160,264,3,11,26,12,0,0,628,38,0,108,1,1,4,21,85,46,236,164,0,3,55,122
CA0370900,1985,148,572,6,324,71,35,234,748,380,5,20,14,0,0,0,585,114,0,78,3,2,13,22,99,96,209,94,0,9,61,112
